STATEFP,COWS,COWS_PER_PERSON,COW_DENSITY,POPESTIMATE2020
01,1300000.0,0.2641453921258665,9.910388908888137,4921532
04,846200.0,0.11402159780882343,2.874672437840717,7421401
05,1730000.0,0.5708587497467433,12.847097409532859,3030522
06,5149600.0,0.13080648742872333,12.756899419017985,39368078
08,2749800.0,0.47347332059281794,10.244439050863148,5807719
09,0.0,0.0,0.0,3557006
10,0.0,0.0,0.0,986809
11,0.0,0.0,0.0,712816
12,1679700.0,0.07728688568037859,12.08750132529014,21733312
13,1089500.0,0.10172719613797065,7.288277492886085,10710017
16,2470000.0,1.3520074573885017,11.539363651232609,1826913
17,1089900.0,0.08658569234790305,7.580406880912873,12587530
18,820000.0,0.12139240643125127,8.837219790686905,6754953
19,3850000.0,1.2169830137620232,26.614181010902335,3163561
20,6400000.0,2.1964407364253957,30.223790501851386,2913805
21,2110000.0,0.4712713225146412,20.629038066417756,4477251
22,779800.0,0.1678679478993688,6.9677719789643175,4645318
23,0.0,0.0,0.0,1350141
24,179000.0,0.029558430080772125,7.116732456341684,6055802
25,0.0,0.0,0.0,6893574
26,1145300.0,0.11491433097996248,7.811618805039395,9966555
27,2258500.0,0.3992157447790853,10.951225477431837,5657342
28,919700.0,0.3099987663417584,7.567433715703589,2966786
29,4300000.0,0.6990110456750074,24.150202978292086,6151548
30,2500000.0,2.313578763938155,6.631761862476817,1080577
31,6750000.0,3.4837774676499005,33.92686316122494,1937552
32,478500.0,0.15247307503937693,1.6816776446489063,3138259
33,0.0,0.0,0.0,1366275
34,27600.0,0.003107278450765004,1.4489013268131739,8882371
35,1426900.0,0.6774377480334175,4.541395720270959,2106319
36,1459900.0,0.0754986250034649,11.961575227664154,19336776
37,809900.0,0.07639972858711064,6.431180804791606,10600823
38,1880000.0,2.4565240968027293,10.520760240647691,765309
39,1289400.0,0.1102690559834817,12.184421521891858,11693217
40,5150000.0,1.2937153318831998,28.987276728289547,3980783
41,1280000.0,0.30177953260480295,5.148245033447526,4241507
42,1519900.0,0.1188977391828403,13.115952621523197,12783254
44,0.0,0.0,0.0,1057125
45,340000.0,0.06515856528504956,4.366464481528873,5218040
46,3900000.0,4.36868570890887,19.863206793025086,892717
47,1810000.0,0.26282033224555723,16.948841801332804,6886834
48,12900000.0,0.4393619388381615,19.063620089639695,29360759
49,820000.0,0.2523170862669041,3.8433583473898234,3249879
50,250000.0,0.40106072540655524,10.472270073016928,623347
51,1449900.0,0.16877822792289632,14.178812616194852,8590563
53,1200000.0,0.15597355312433223,6.971922066445,7693612
54,394900.0,0.22125889531916135,6.342114573426212,1784787
55,3449900.0,0.5914802092700494,24.590796981994803,5832655
56,1320000.0,2.2667637482655825,5.249370713617132,582328
